@RELATION tweet

@ATTRIBUTE user {true,false}
@ATTRIBUTE word {true,false}
@ATTRIBUTE hashtag {true,false}
@ATTRIBUTE smiley {true,false}
@ATTRIBUTE argoInternet {true,false}
@ATTRIBUTE ponctuation {absent, regulier, surnombre}
@ATTRIBUTE retweet {true,false}
@ATTRIBUTE nbRetweet NUMERIC
@ATTRIBUTE longeur NUMERIC
@ATTRIBUTE categorie {Drole, Contrepetrie, PasDrole, Autoderision}
@ATTRIBUTE tweetDrole {true,false}

@DATA
false,false,false,false,false,absent,true,78,140,PasDrole,false
false,false,false,false,false,absent,true,8,140,PasDrole,false
false,false,false,true,false,absent,false,0,99,PasDrole,false
false,false,false,false,false,absent,false,1,119,PasDrole,false
false,false,false,false,false,regulier,true,8,140,PasDrole,false
false,false,false,false,false,absent,false,3,84,PasDrole,false
false,false,false,false,false,absent,true,36,107,PasDrole,false
false,false,false,false,false,absent,true,4,115,PasDrole,false
false,false,false,false,false,absent,false,0,122,PasDrole,false
false,false,false,false,false,absent,false,7,137,PasDrole,false
false,false,false,false,false,surnombre,false,0,72,PasDrole,false
false,false,false,false,false,absent,false,0,113,PasDrole,false
false,false,false,true,false,absent,false,0,97,PasDrole,false
false,false,false,false,false,absent,false,2,134,PasDrole,false
false,false,false,false,false,absent,false,0,36,PasDrole,false
false,false,false,false,false,absent,false,0,122,PasDrole,false
false,false,false,false,false,absent,false,7,126,PasDrole,false
false,false,false,false,false,absent,false,3,122,PasDrole,false
false,false,false,false,false,absent,false,10,131,PasDrole,false
false,false,false,false,false,surnombre,false,1,57,PasDrole,false
false,false,false,false,false,surnombre,false,0,54,PasDrole,false
false,false,false,false,false,absent,false,6,126,PasDrole,false
false,false,false,true,false,absent,false,0,27,PasDrole,false
false,false,false,true,false,absent,false,0,34,PasDrole,false
false,false,false,false,false,absent,false,6,132,PasDrole,false
false,false,false,false,false,surnombre,true,21,140,PasDrole,false
false,false,false,false,false,absent,false,4,123,PasDrole,false
false,false,false,false,false,regulier,false,2,134,PasDrole,false
false,false,false,false,false,absent,false,5,131,PasDrole,false
false,false,false,false,false,surnombre,true,9,140,PasDrole,false
false,false,false,false,false,absent,false,1,136,PasDrole,false
false,false,false,false,false,absent,false,0,121,PasDrole,false
false,false,false,false,false,regulier,false,0,120,PasDrole,false
false,false,false,false,false,absent,false,2,133,PasDrole,false
false,false,false,false,false,surnombre,false,0,63,PasDrole,false
false,false,false,true,false,regulier,false,0,58,PasDrole,false
false,false,false,false,false,regulier,false,1,138,PasDrole,false
false,false,false,false,false,absent,false,2,71,PasDrole,false
false,false,false,false,false,regulier,false,0,139,PasDrole,false
false,false,false,false,false,surnombre,false,15,136,PasDrole,false
false,false,false,false,false,absent,false,5,132,PasDrole,false
false,false,false,false,false,absent,false,0,31,PasDrole,false
false,false,false,false,false,absent,false,0,126,PasDrole,false
false,false,false,false,false,absent,false,5,140,PasDrole,false
