@relation tweet-weka.filters.unsupervised.attribute.Remove-R10

@attribute user {true,false}
@attribute word {true,false}
@attribute hashtag {true,false}
@attribute smiley {true,false}
@attribute argoInternet {true,false}
@attribute ponctuation {absent,regulier,surnombre}
@attribute retweet {true,false}
@attribute nbRetweet numeric
@attribute longeur numeric
@attribute tweetDrole {true,false}

@data
false,false,false,false,false,absent,false,2,124,false
false,false,false,false,false,surnombre,false,3,109,false
false,false,false,false,false,absent,false,0,99,false
false,false,false,false,false,absent,false,5,122,false
false,false,false,false,false,absent,true,78,140,false
false,false,false,false,false,absent,true,8,140,false
false,false,false,true,false,absent,false,0,99,false
false,false,false,false,false,absent,false,1,119,false
false,false,false,false,false,regulier,true,8,140,false
false,false,false,false,false,absent,false,3,84,false
false,false,false,false,false,absent,true,36,107,false
false,false,false,false,false,absent,true,4,115,false
false,false,false,false,false,absent,false,0,122,false
false,false,false,false,false,absent,false,7,137,false
false,false,false,false,false,surnombre,false,0,72,false
false,false,false,false,false,absent,false,0,113,false
false,false,false,true,false,absent,false,0,97,false
false,false,false,false,false,absent,false,2,134,false
false,false,false,false,false,absent,false,0,36,false
false,false,false,false,false,absent,false,0,122,false
false,false,false,false,false,absent,false,7,126,false
false,false,false,false,false,absent,false,3,122,false
false,false,false,false,false,absent,false,10,131,false
false,false,false,false,false,surnombre,false,1,57,false
false,false,false,false,false,surnombre,false,0,54,false
false,false,false,false,false,absent,false,6,126,false
false,false,false,true,false,absent,false,0,27,false
false,false,false,true,false,absent,false,0,34,false
false,false,false,false,false,absent,false,6,132,false
false,false,false,false,false,surnombre,true,21,140,false
false,false,false,false,false,absent,false,4,123,false
false,false,false,false,false,regulier,false,2,134,false
false,false,false,false,false,absent,false,5,131,false
false,false,false,false,false,surnombre,true,9,140,false
false,false,false,false,false,absent,false,1,136,false
false,false,false,false,false,absent,false,0,121,false
false,false,false,false,false,regulier,false,0,120,false
false,false,false,false,false,absent,false,2,133,false
false,false,false,false,false,surnombre,false,0,63,false
false,false,false,true,false,regulier,false,0,58,false
false,false,false,false,false,regulier,false,1,138,false
false,false,false,false,false,absent,false,2,71,false
false,false,false,false,false,regulier,false,0,139,false
false,false,false,false,false,surnombre,false,15,136,false
false,false,false,false,false,absent,false,5,132,false
false,false,false,false,false,absent,false,0,31,false
false,false,false,false,false,absent,false,0,126,false
false,false,false,false,false,absent,false,5,140,false
false,false,false,false,false,absent,true,2,124,false
false,false,false,true,false,absent,false,0,39,false
false,false,false,false,false,surnombre,false,15,128,false
false,false,false,false,false,absent,false,7,129,false
false,false,false,false,false,absent,false,2,134,false
false,false,false,false,false,absent,false,0,137,false
false,false,false,false,false,absent,false,0,139,false
false,false,false,false,false,surnombre,true,2,140,false
false,false,false,false,false,absent,false,2,138,false
false,false,false,false,false,absent,false,0,75,false
false,false,false,false,false,absent,false,0,72,false
false,false,false,false,false,absent,false,1,112,false
false,false,false,false,false,absent,false,5,135,false
false,false,false,false,false,regulier,true,8,130,false
false,false,false,false,false,regulier,false,5,132,false
false,false,false,false,false,absent,false,2,138,false
false,false,false,false,false,absent,false,3,137,false
false,false,false,false,false,absent,false,15,138,false
false,false,false,false,false,absent,true,18,87,false
false,false,false,false,false,absent,false,4,120,false
false,false,false,false,false,absent,false,0,66,false
false,false,false,true,false,absent,false,0,25,false
false,false,false,false,false,absent,false,5,115,false
false,false,false,false,false,absent,true,50,140,false
false,false,false,false,false,absent,false,17,105,false
false,false,false,false,false,surnombre,true,8,140,false
false,false,false,false,false,absent,false,4,125,false
false,false,false,false,false,absent,true,25,117,false
false,false,false,false,false,absent,true,2,138,false
false,false,false,false,false,absent,false,7,108,false
false,false,false,false,false,absent,true,5,140,false
false,false,false,false,false,absent,false,3,131,false
false,false,false,false,false,absent,false,12,137,false
false,false,false,false,false,absent,false,4,104,false
false,false,false,false,false,absent,false,8,126,false
false,false,false,false,false,absent,false,5,140,false
false,false,false,false,false,absent,false,9,138,false
false,false,false,false,false,surnombre,false,7,69,false
false,false,false,false,false,absent,false,5,76,false
false,false,false,false,false,absent,false,6,121,false
false,false,false,false,false,absent,false,1,113,false
false,false,false,false,false,absent,false,1,119,false
false,false,false,false,false,absent,false,10,90,false
false,false,false,false,false,regulier,false,1,127,false
false,false,false,false,false,absent,false,14,132,false
false,false,false,false,false,absent,false,1,94,false
false,false,false,false,false,absent,false,4,127,false
false,false,false,false,false,absent,true,5,140,false
false,false,false,true,false,absent,false,2,138,false
false,false,false,false,false,absent,false,4,123,false
false,false,false,false,false,absent,true,5,140,false
false,false,false,false,false,absent,false,0,131,false
false,false,false,false,false,absent,false,4,121,false
false,false,false,false,false,absent,true,17,140,false
false,false,false,false,false,absent,false,7,124,false
false,false,false,false,false,absent,false,3,132,false
false,false,false,false,false,surnombre,false,8,107,false
false,false,false,true,false,surnombre,false,15,51,false
false,false,false,false,false,absent,false,0,91,false
false,false,false,false,false,absent,false,15,123,false
false,false,false,false,false,regulier,true,8,140,false
false,false,false,false,false,absent,false,13,118,false
false,false,false,false,false,absent,false,3,130,false
false,false,false,false,false,absent,false,1,118,false
false,false,false,false,false,absent,true,7,140,false
false,false,false,false,false,absent,false,6,139,false
false,false,false,false,false,absent,false,0,71,false
false,false,false,true,false,absent,false,0,78,false
false,false,false,false,false,regulier,false,5,140,false
false,false,false,false,false,surnombre,false,9,135,false
false,false,false,false,false,absent,true,4,119,false
false,false,false,false,false,absent,false,11,132,false
false,false,false,false,false,surnombre,false,2,121,false
false,false,false,false,false,surnombre,false,7,127,false
false,false,false,false,false,surnombre,false,4,136,false
false,false,false,false,false,absent,true,88,140,false
false,false,false,false,false,absent,false,6,129,false
false,false,false,false,false,surnombre,false,5,135,false
false,false,false,false,false,absent,false,3,130,false
false,false,false,false,false,absent,false,0,139,false
false,false,false,false,false,surnombre,false,2,103,false
false,false,false,false,false,absent,false,3,135,false
false,false,false,false,false,absent,true,3,140,false
false,false,false,false,false,absent,false,4,101,false
false,false,false,false,false,surnombre,false,14,136,false
false,false,false,false,false,absent,false,6,93,false
false,false,false,false,false,absent,false,1,117,false
false,false,false,false,false,surnombre,true,11,106,false
false,false,false,false,false,absent,false,0,126,false
false,false,false,false,false,absent,false,9,117,false
false,false,false,false,false,absent,false,0,121,false
false,false,false,false,false,surnombre,false,9,125,false
false,false,false,false,false,absent,false,0,132,false
false,false,false,false,false,absent,false,0,116,false
false,false,false,false,false,surnombre,true,126,101,false
false,false,false,false,false,absent,false,1,93,false
false,false,false,false,false,absent,true,13,140,false
false,false,false,true,false,absent,false,0,44,false
false,false,false,false,false,absent,true,10,140,false
false,false,false,false,false,absent,false,0,137,false
false,false,false,false,false,absent,false,0,139,false
false,false,false,false,false,absent,false,4,107,false
false,false,false,false,false,absent,false,0,107,false
false,false,false,false,false,absent,false,7,132,false
false,false,false,false,false,absent,false,4,95,false
false,false,false,false,false,surnombre,false,12,98,false
false,false,false,false,false,absent,false,4,135,false
false,false,false,false,false,absent,true,4,140,false
false,false,false,true,false,absent,false,0,49,false
false,false,false,false,false,regulier,false,1,130,false
false,false,false,false,false,absent,false,25,139,false
false,false,false,false,false,absent,false,1,110,false
false,false,false,false,false,absent,false,3,116,false
false,false,false,false,false,absent,false,2,136,false
false,false,false,false,false,absent,false,0,137,false
false,false,false,false,false,absent,false,1,81,false
false,false,false,false,false,absent,true,86,100,false
false,false,false,false,false,absent,false,0,129,false
false,false,false,false,false,absent,false,9,133,false
false,false,false,false,false,absent,false,3,138,false
false,false,false,false,false,regulier,true,20,140,false
false,false,false,false,false,absent,false,2,137,false
false,false,false,false,false,surnombre,false,2,121,false
false,false,false,false,false,absent,false,1,136,false
false,false,false,false,false,absent,false,0,46,false
false,false,false,false,false,absent,false,42,99,false
false,false,false,false,false,surnombre,true,2,140,false
false,false,false,false,false,absent,true,5,136,false
false,false,false,false,false,absent,false,1,70,false
false,false,false,false,false,absent,false,7,118,false
false,false,false,true,false,absent,false,1,129,false
false,false,false,false,false,absent,false,56,136,false
false,false,false,false,false,absent,false,50,131,false
false,false,false,false,false,absent,false,48,92,false
false,false,false,false,false,absent,false,48,80,false
false,false,false,false,false,regulier,false,45,139,false
false,false,false,false,false,absent,false,32,130,false
false,false,false,false,false,absent,false,18,87,false
false,false,false,false,false,absent,false,30,101,false
false,false,false,false,false,absent,false,27,119,false
false,false,false,false,false,absent,false,33,139,false
false,false,false,false,false,regulier,false,27,126,false
false,false,false,false,false,surnombre,false,23,123,false
false,false,false,false,false,surnombre,false,18,94,false
false,false,false,false,false,surnombre,false,20,135,false
false,false,false,false,false,surnombre,false,21,86,false
false,false,false,false,false,surnombre,false,20,80,false
false,false,false,false,false,regulier,false,19,91,false
false,false,false,false,false,surnombre,false,21,86,false
false,false,false,false,false,absent,false,14,67,false
false,false,false,false,false,absent,false,14,140,false
